Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 30.0, -6.25
Query 2, 0, 0.0, 0
Query 3, 0, 0.0, 0
Query 4, 6, 60.0, -2.142857142857143
Query 5, 3, 30.0, -0.25
Query 6, 3, 30.0, -8.5
Query 7, 1, 10.0, 0
Query 8, 0, 0.0, 0
Query 9, 4, 40.0, -8.1
Query 10, 3, 30.0, -4.25
Query 11, 1, 10.0, 0
Query 12, 3, 30.0, -0.25
Query 13, 3, 30.0, -4.25
Query 14, 2, 20.0, -15.0
Query 15, 3, 30.0, -4.25
Query 16, 3, 30.0, -2.5
Query 17, 1, 10.0, 0
Query 18, 0, 0.0, 0
Query 19, 1, 10.0, 0
Query 20, 4, 40.0, -0.3999999999999999
Query 21, 0, 0.0, 0
Query 22, 2, 20.0, -36.0
Query 23, 4, 40.0, -0.10000000000000009
Query 24, 2, 20.0, -16.0
Query 25, 1, 10.0, 0
Query 26, 4, 40.0, -4.8
Query 27, 2, 20.0, -19.0
Query 28, 1, 10.0, 0
Query 29, 1, 10.0, 0
Query 30, 4, 40.0, -2.7
Query 31, 2, 20.0, -12.0
Query 32, 2, 20.0, -3.0
Query 33, 1, 10.0, 0
Query 34, 3, 30.0, -2.5
Query 35, 2, 20.0, -9.0
Query 36, 1, 10.0, 0
Query 37, 4, 40.0, 0.0
Query 38, 3, 30.0, 0.25
Query 39, 3, 30.0, -2.25
Query 40, 2, 20.0, -7.0
Query 41, 1, 10.0, 0
Query 42, 2, 20.0, -19.0
Query 43, 0, 0.0, 0
Query 44, 1, 10.0, 0
Query 45, 4, 40.0, -8.5
Query 46, 3, 30.0, -9.25
Query 47, 4, 40.0, -6.0
Query 48, 0, 0.0, 0
Query 49, 2, 20.0, 1.0
Query 50, 3, 30.0, -11.5
Query 51, 2, 20.0, -25.0
Query 52, 3, 30.0, 0.75
Query 53, 2, 20.0, 0.0
Query 54, 1, 10.0, 1
Query 55, 3, 30.0, -17.0
Query 56, 1, 10.0, 1
Query 57, 3, 30.0, -2.25
Query 58, 2, 20.0, -81.0
Query 59, 3, 30.0, -1.25
Query 60, 0, 0.0, 0
Query 61, 4, 40.0, -1.1
Query 62, 5, 50.0, -1.65
Query 63, 1, 10.0, 0
Query 64, 0, 0.0, 0
Query 65, 0, 0.0, 0
Query 66, 0, 0.0, 0
Query 67, 0, 0.0, 0
Query 68, 5, 50.0, -3.6500000000000004
Query 69, 1, 10.0, 1
Query 70, 3, 30.0, 0.5
Query 71, 4, 40.0, -0.5
Query 72, 1, 10.0, 0
Query 73, 1, 10.0, 0
Query 74, 4, 40.0, 0.30000000000000004
Query 75, 2, 20.0, -8.0
Query 76, 2, 20.0, -24.0
Query 77, 0, 0.0, 0
Query 78, 3, 30.0, -1.5
Query 79, 1, 10.0, 0
Query 80, 3, 30.0, -6.25
Query 81, 0, 0.0, 0
Query 82, 1, 10.0, 1
Query 83, 6, 60.0, -0.6000000000000001
Query 84, 0, 0.0, 0
Query 85, 2, 20.0, -25.0
Query 86, 2, 20.0, 0.0
Query 87, 2, 20.0, -33.0
Query 88, 2, 20.0, -3.0
Query 89, 5, 50.0, 0.44999999999999996
Query 90, 3, 30.0, 0.25
Query 91, 0, 0.0, 0
Query 92, 4, 40.0, 0.4
Query 93, 0, 0.0, 0
Query 94, 3, 30.0, -4.0
Query 95, 0, 0.0, 0
Query 96, 0, 0.0, 0
Query 97, 1, 10.0, 0
Query 98, 2, 20.0, -40.0
Query 99, 3, 30.0, 0.75
Query 100, 4, 40.0, -5.2
Averages, 2.08, 20.8, -5.0004285714285714
