URL,Size (Bytes),# of Outlinks,Content Type
https://www.latimes.com/,811342,382,text/html
https://www.latimes.com/politics/story/2023-09-09/elon-musk-x-twitter-sues-california-social-media-law,303835,169,text/html
https://www.latimes.com/world-nation/story/2023-10-04/house-new-speaker-scalise-jordan,302048,163,text/html
https://www.latimes.com/world-nation/story/2023-10-04/biden-announces-more-student-debt-relief-as-payments-resume-after-the-coronavirus-pandemic-pause,289330,161,text/html
https://www.latimes.com/people/queenie-wong,260266,157,text/html
https://www.latimes.com/politics/story/2023-09-02/california-bill-social-media-platforms-tech-regulation-policy,305535,166,text/html
https://www.latimes.com/business/technology,364980,182,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2023-10-02/dianne-feinsteins-assault-weapons-ban-saved-lives,292263,161,text/html
https://www.latimes.com/opinion/letters-to-the-editor/story/2023-10-04/republicans-do-you-want-your-kids-to-behave-like-donald-trump,288396,160,text/html
https://www.latimes.com/people/jean-guerrero,260469,159,text/html
https://www.latimes.com/opinion/story/2023-09-22/shutdown-house-republicans-budget-kevin-mccarthy-matt-gaetz,324124,182,text/html
https://www.latimes.com/opinion/story/2023-10-01/polly-klaas-kim-cross-natalee-holloway-unabomber-elizabeth-smart-child-abduction-stranger-danger,316419,152,text/html
https://www.latimes.com/business/story/2023-09-28/gops-suicidal-shutdown-plan-effects-poor,312277,178,text/html
https://www.latimes.com/politics/story/2023-10-03/supreme-court-sounds-skeptical-of-lenders-challenge-to-obama-era-consumer-protection-bureau,291937,157,text/html
https://www.latimes.com/business/story/2022-07-26/book-bans-are-on-the-rise-blame-the-far-right,337918,195,text/html
https://www.latimes.com/business/story/2023-08-22/the-right-wing-campaign-to-make-our-kids-dumber-is-moving-ahead-at-full-speed,333934,197,text/html
https://www.latimes.com/california/story/2023-09-25/amid-school-board-turmoil-newsom-signs-law-to-ban-textbook-bans-in-california,294925,170,text/html
https://www.latimes.com/business/story/2023-02-01/barnes-noble-survived-a-near-death-experience-and-its-now-growing-again,333277,180,text/html
https://www.latimes.com/business/story/2023-09-28/can-ftc-rein-in-amazons-monopolistic-practices,331319,181,text/html
https://www.latimes.com/sports/chargers/story/2023-09-24/keenan-allen-maestro-performance-chargers-first-win-0-3-vikings,313949,171,text/html
https://www.latimes.com/sports/chargers/story/2023-10-02/chargers-raiders-takeaways-jerry-tillery-illegal-hit-justin-herbert,314127,159,text/html
https://www.latimes.com/sports/chargers/story/2023-09-24/chargers-finally-make-big-plays-firrst-win-0-3-vikings,318398,172,text/html
https://www.latimes.com/sports/chargers/story/2023-09-29/raiders-game-key-to-chargers-season,314063,173,text/html
https://www.latimes.com/sports/chargers/story/2023-09-25/chargers-mike-williams-out-season-torn-acl,300151,170,text/html
https://www.latimes.com/sports/chargers/story/2023-09-29/chargers-center-corey-linsley-on-injured-reserve-non-emergent-heart-related-issue,305840,172,text/html
https://www.latimes.com/coupon-codes/static/shop/41303/logo/Walmart_logo__1_.png?width=110&height=110,2554,0,image/png
https://www.latimes.com/coupon-codes/lightinthebox,464319,318,text/html
https://www.latimes.com/coupon-codes/walgreens,382507,318,text/html
https://www.latimes.com/coupon-codes/static/shop/41303/logo/Walmart_logo__1_.png?width=200&height=200,3039,0,image/png
https://www.latimes.com/business/la-fi-walmart-online-sales-20171010-story.html,280810,155,text/html
https://www.latimes.com/coupon-codes/amazon,508008,319,text/html
https://www.latimes.com/coupon-codes/advance-auto-parts,395325,319,text/html
https://www.latimes.com/entertainment-arts/story/2019-07-26/once-upon-a-time-in-hollywood,276092,166,text/html
https://www.latimes.com/entertainment-arts/awards/story/2023-03-12/oscars-2023-red-carpet-best-dressed-fashion,607174,228,text/html
https://www.latimes.com/entertainment-arts/awards/story/2023-03-12/oscars-2023-winners-list,345152,226,text/html
https://www.latimes.com/entertainment-arts/movies/story/2019-08-29/dolemite-is-my-name-ruth-carter-costume-design,300844,168,text/html
https://www.latimes.com/entertainment-arts/movies/story/2019-11-26/actress-roundtable-jennifer-lopez-charlize-theron-renee-zellweger-cynthia-erivo-awkwafina,365229,201,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-10-02/patrick-j-pespas-telemarketers-hbo-missing-sam-lipman-stern-adam-bhala-lough,296662,170,text/html
https://www.latimes.com/entertainment-arts/movies/story/2019-12-09/roundtable-directors-gerwig-joon-ho-phillips-heller-wang-baumbach,346688,197,text/html
https://www.latimes.com/people/julia-turner,228046,149,text/html
https://www.latimes.com/entertainment-arts/movies/story/2019-11-26/elton-john-costumes-rocketman-julian-day,294110,165,text/html
https://www.latimes.com/entertainment-arts/movies/story/2019-12-17/actors-roundtable-when-the-irishman-meets-batman,349226,196,text/html
https://www.latimes.com/entertainment-arts/awards/story/2023-08-14/jessica-chastain-george-tammy-emmys-oscars,321996,173,text/html
https://www.latimes.com/entertainment-arts/awards/story/2023-03-12/oscars-2023-backstage-photos-behind-the-scenes,422819,191,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-10-02/ron-howard-joe-dante-salute-roger-corman-beyond-fest,314158,172,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-10-04/the-exorcist-believer-review-david-gordon-green-ellen-burstyn-leslie-odom-jr,301000,171,text/html
https://www.latimes.com/obituaries/story/2023-08-07/william-friedkin-death-exorcist-director,314095,181,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-10-02/highest-grossing-halloween-season-horror-hits-conjuring-it-annabelle,289950,175,text/html
https://www.latimes.com/entertainment-arts/movies/story/2019-12-16/judy-garland-hair-makeup-renee-zellweger,287233,163,text/html
https://www.latimes.com/entertainment-arts/story/2019-11-01/harriet-director-on-bringing-a-tremendous-hero-to-life,287722,165,text/html
https://www.latimes.com/topic/oscars,359073,188,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-10-04/david-gordon-green-jason-blum-the-exorcist-believer,312620,171,text/html
https://www.latimes.com/entertainment-arts/movies/story/2019-10-31/martin-scorsese-the-irishman-netflix,307512,174,text/html
https://www.latimes.com/entertainment-arts/movies/story/2023-08-16/michael-oher-lawsuit-sean-tuohy-shakedown-blind-side-oscar,331210,186,text/html
https://www.latimes.com/entertainment-arts/awards/story/2023-03-12/oscars-2023-live-updates-winners-speeches-monologue-moments,445363,202,text/html
https://www.latimes.com/sports/story/2023-10-02/zach-wilson-fumble-lebron-james-jets-chiefs-patrick-mahomes,307735,181,text/html
https://www.latimes.com/sports/lakers/story/2023-10-03/lakers-training-camp-day-1-jalen-hood-schifino-darvin-ham,304217,170,text/html
https://www.latimes.com/california/story/2022-12-16/bass-executive-order-on-housing,310470,168,text/html
https://www.latimes.com/california/story/2022-12-12/emergency-declaration-gives-karen-bass-new-powers,312382,164,text/html
https://www.latimes.com/california/story/2022-12-11/karen-bass-sworn-in-as-los-angeles-mayor-the-first-woman-to-hold-the-office,335224,178,text/html
https://www.latimes.com/california/story/2022-12-20/la-county-supervisors-pledge-support-bass-state-of-emergency-homelessness,308102,176,text/html
https://www.latimes.com/california/story/2023-01-10/l-a-county-declares-homeless-crisis-a-state-of-emergency,290039,162,text/html
https://www.latimes.com/lifestyle/story/2022-11-15/best-smelling-california-native-plants,399701,190,text/html
https://www.latimes.com/lifestyle/story/2023-04-11/festival-of-books-los-angeles-times-plants-booth,292738,171,text/html
https://www.latimes.com/lifestyle/story/2022-09-29/joshua-tree-native-plants-mojave-desert-land-trust,395265,215,text/html
https://www.latimes.com/lifestyle/story/2022-07-07/how-to-tear-out-your-lawn-by-yourself-diy-instructions,373025,190,text/html
https://www.latimes.com/lifestyle/story/2022-06-13/native-plants-summer-gardening-care,363995,180,text/html
https://www.latimes.com/lifestyle/story/2019-08-06/plant-material-shop-glassell-park,285398,170,text/html
https://www.latimes.com/archives/blogs/la-at-home/story/2009-10-12/the-dry-garden-behind-the-scenes-of-bob-sussmans-iris-laboratory-and-his-experiments-in-bulb-beauty,251302,146,text/html
https://www.latimes.com/environment/newsletter/2020-10-08/boiling-point-air-pollution-and-covid-19-can-be-a-deadly-mix-boiling-point,334871,213,text/html
https://www.latimes.com/la-na-new-mexico-coal-photos-20141214-photogallery.html,228221,132,text/html
https://www.latimes.com/environment/newsletter/2020-06-04/why-communities-fighting-for-fair-policing-also-demand-environmental-justice-boiling-point,329265,213,text/html
https://www.latimes.com/science/sciencenow/la-xpm-2013-nov-06-la-sci-sn-gas-stoves-air-pollution-california-20131106-story.html,290932,164,text/html
https://www.latimes.com/environment/story/2019-12-03/carbon-dioxide-emissions-fossil-fuels-record-high-2019,297369,166,text/html
https://www.latimes.com/environment/story/2020-09-23/los-angeles-hid-a-methane-leak-for-a-year-activists-want-the-power-plant-shut-down,348863,186,text/html
https://www.latimes.com/environment/story/2020-06-09/socalgas-ramps-up-use-of-aliso-canyon-site-of-worst-gas-leak,346664,180,text/html
https://www.latimes.com/california/story/2020-09-23/gavin-newsom-fracking-ban-california-zero-emissions-cars,351141,179,text/html
https://www.latimes.com/environment/newsletter/2020-08-06/boiling-point-heat-waves-should-get-names-too-boiling-point,328019,194,text/html
https://www.latimes.com/environment/newsletter/2020-07-30/boiling-point-firstenergy-ohio-socalgas-climate-change-boiling-point,322867,195,text/html
https://www.latimes.com/nation/la-na-sej-dakota-access-pipeline-20160912-snap-story.html,289852,155,text/html
https://www.latimes.com/food/la-fo-alameda-supper-club-review-downtown-bill-addison-20190529-story.html,311013,168,text/html
https://www.latimes.com/food/story/2023-01-11/breakfast-burrito-wake-and-late-sundays-the-bakery-cofax-culver-city-or-bar-clark-street,315962,174,text/html
https://www.latimes.com/food/list/best-mexico-city-restaurants-bars-tacos-cantinas-dessert,578352,242,text/html
https://www.latimes.com/california/story/2023-09-15/cottage-hospital-pediatric-intensive-care-unit,298530,164,text/html
https://www.latimes.com/california/story/2023-09-13/who-should-pay-for-std-testing,314508,170,text/html
https://www.latimes.com/california/story/2023-09-14/tens-of-thousands-of-kaiser-healthcare-workers-approve-possible-strike,294327,165,text/html
https://www.latimes.com/california/story/2023-09-07/summer-covid-wave-worsens,339828,187,text/html
https://www.latimes.com/california/story/2023-09-25/hospital-medication-errors-jeopardized-socal-patients-brain-bleed,302648,169,text/html
https://www.latimes.com/bestcovery/?utm_source=on_site&utm_medium=footer&utm_campaign=bestcovery&0000016e-6649-d2e1-a3fe-76490a400000-page=2&00000170-840f-dcab-af7b-fc1f56800000-page=2,77311,46,text/html
https://www.latimes.com/people/wesley-lapointe,255066,160,text/html
https://www.latimes.com/travel/newsletter/2022-09-15/summer-travel-stories-best-destinations-escapes,342897,172,text/html
https://www.latimes.com/california/story/2023-08-03/mental-health-services-interventionists,377121,170,text/html
https://www.latimes.com/california/newsletter/2023-08-08/meet-a-private-contractor-helping-families-find-their-loved-ones-on-l-a-s-streets-essential-california,304780,178,text/html
https://www.latimes.com/california/story/2023-05-21/counties-scramble-care-court-preparations,321669,167,text/html
https://www.latimes.com/california/story/2023-04-09/sb-43-gravely-disabled-mental-illness-bill,320004,166,text/html
https://www.latimes.com/california/story/2023-08-12/smash-and-grab-mob-targets-nordstom-store-in-brazen-daytime-raid,284301,160,text/html
https://www.latimes.com/california/story/2023-08-27/cooks-corner,313422,175,text/html
https://www.latimes.com/california/story/2023-09-20/kevin-cataneo-salazar-mental-health-gun-purchase-la-sheriff-deputy-ryan-clinkunbroomer-shooting,316442,173,text/html
https://www.latimes.com/california/story/2023-09-04/care-courts-families-voluntary-compliance,341502,172,text/html
https://www.latimes.com/lifestyle/story/2022-09-22/how-to-do-fall-la-los-angeles-according-guy-from-vermont,347641,194,text/html
https://www.latimes.com/travel/list/places-los-angeles-scary-while-high,422268,204,text/html
https://www.latimes.com/travel/la-tr-spot-cannabis-20180709-story.html,292697,164,text/html
https://www.latimes.com/world-nation/story/2023-09-04/drug-cartels-exploit-ecuador-banana-industry,328691,177,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/story/2022-03-22/earnings-calls-increasingly-focus-on-the-topic-of-inflation,261574,146,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/danielle-v-garcia,210245,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/andree-blais,208752,138,text/html
https://www.latimes.com/los-angeles-county-banking-and-finance-trends-updates-visionaries/jay-turo,207768,138,text/html
